nohup: ignoring input
step=0 loss=3.4169 photo=0.4212 sem=2.9957
step=10 loss=3.3158 photo=0.3201 sem=2.9957
step=20 loss=3.3591 photo=0.3634 sem=2.9957
step=30 loss=3.3442 photo=0.3485 sem=2.9957
step=40 loss=3.3634 photo=0.3677 sem=2.9957
step=50 loss=3.3295 photo=0.3337 sem=2.9958
step=60 loss=3.3368 photo=0.3411 sem=2.9957
step=70 loss=3.3275 photo=0.3317 sem=2.9957
step=80 loss=3.3600 photo=0.3643 sem=2.9957
step=90 loss=3.3579 photo=0.3622 sem=2.9957
step=100 loss=3.3958 photo=0.4001 sem=2.9957
step=110 loss=3.3629 photo=0.3672 sem=2.9957
step=120 loss=3.3399 photo=0.3442 sem=2.9957
step=130 loss=3.3916 photo=0.3959 sem=2.9957
step=140 loss=3.3835 photo=0.3877 sem=2.9957
step=150 loss=3.4067 photo=0.4109 sem=2.9957
step=160 loss=3.4480 photo=0.4523 sem=2.9957
step=170 loss=3.3985 photo=0.4028 sem=2.9957
step=180 loss=3.3946 photo=0.3989 sem=2.9957
step=190 loss=3.3502 photo=0.3545 sem=2.9957
step=200 loss=3.3366 photo=0.3408 sem=2.9957
step=210 loss=3.3957 photo=0.3999 sem=2.9957
step=220 loss=3.3766 photo=0.3808 sem=2.9957
step=230 loss=3.3973 photo=0.4016 sem=2.9957
step=240 loss=3.3093 photo=0.3136 sem=2.9957
step=250 loss=3.3627 photo=0.3670 sem=2.9957
step=260 loss=3.3766 photo=0.3808 sem=2.9957
step=270 loss=3.3446 photo=0.3489 sem=2.9957
step=280 loss=3.3945 photo=0.3988 sem=2.9957
step=290 loss=3.3550 photo=0.3592 sem=2.9957
step=300 loss=3.3479 photo=0.3522 sem=2.9957
step=310 loss=3.3606 photo=0.3648 sem=2.9957
step=320 loss=3.3553 photo=0.3596 sem=2.9957
step=330 loss=3.3505 photo=0.3547 sem=2.9957
step=340 loss=3.4501 photo=0.4544 sem=2.9957
step=350 loss=3.3545 photo=0.3587 sem=2.9957
step=360 loss=3.4254 photo=0.4297 sem=2.9957
step=370 loss=3.3448 photo=0.3491 sem=2.9957
step=380 loss=3.3351 photo=0.3393 sem=2.9957
step=390 loss=3.4086 photo=0.4129 sem=2.9957
step=400 loss=3.3748 photo=0.3791 sem=2.9957
step=410 loss=3.3325 photo=0.3368 sem=2.9957
step=420 loss=3.3654 photo=0.3697 sem=2.9957
step=430 loss=3.3653 photo=0.3695 sem=2.9957
step=440 loss=3.3311 photo=0.3354 sem=2.9957
step=450 loss=3.3597 photo=0.3640 sem=2.9957
step=460 loss=3.3601 photo=0.3644 sem=2.9957
step=470 loss=3.3759 photo=0.3802 sem=2.9957
step=480 loss=3.3894 photo=0.3936 sem=2.9957
step=490 loss=3.3951 photo=0.3993 sem=2.9957
step=500 loss=3.3655 photo=0.3698 sem=2.9957
step=510 loss=3.3563 photo=0.3606 sem=2.9957
step=520 loss=3.3498 photo=0.3541 sem=2.9957
step=530 loss=3.3721 photo=0.3764 sem=2.9957
step=540 loss=3.3404 photo=0.3447 sem=2.9957
step=550 loss=3.3734 photo=0.3776 sem=2.9957
step=560 loss=3.4154 photo=0.4196 sem=2.9957
step=570 loss=3.3706 photo=0.3749 sem=2.9957
step=580 loss=3.3282 photo=0.3324 sem=2.9957
step=590 loss=3.3902 photo=0.3945 sem=2.9957
step=600 loss=3.3658 photo=0.3701 sem=2.9957
step=610 loss=3.3687 photo=0.3730 sem=2.9957
step=620 loss=3.3469 photo=0.3511 sem=2.9957
step=630 loss=3.3638 photo=0.3681 sem=2.9957
step=640 loss=3.3480 photo=0.3522 sem=2.9957
step=650 loss=3.3648 photo=0.3691 sem=2.9957
step=660 loss=3.3749 photo=0.3792 sem=2.9957
step=670 loss=3.3521 photo=0.3564 sem=2.9957
step=680 loss=3.3831 photo=0.3874 sem=2.9957
step=690 loss=3.3787 photo=0.3829 sem=2.9957
step=700 loss=3.3659 photo=0.3702 sem=2.9957
step=710 loss=3.3503 photo=0.3546 sem=2.9957
step=720 loss=3.3444 photo=0.3487 sem=2.9957
step=730 loss=3.4629 photo=0.4672 sem=2.9957
step=740 loss=3.3523 photo=0.3566 sem=2.9957
step=750 loss=3.3519 photo=0.3562 sem=2.9957
step=760 loss=3.3463 photo=0.3505 sem=2.9957
step=770 loss=3.3331 photo=0.3374 sem=2.9957
step=780 loss=3.3485 photo=0.3527 sem=2.9957
step=790 loss=3.3692 photo=0.3735 sem=2.9957
step=800 loss=3.4156 photo=0.4199 sem=2.9957
step=810 loss=3.3996 photo=0.4038 sem=2.9957
step=820 loss=3.3513 photo=0.3556 sem=2.9957
step=830 loss=3.3616 photo=0.3659 sem=2.9957
step=840 loss=3.3711 photo=0.3754 sem=2.9957
step=850 loss=3.3403 photo=0.3446 sem=2.9957
step=860 loss=3.3614 photo=0.3657 sem=2.9957
step=870 loss=3.3922 photo=0.3964 sem=2.9957
step=880 loss=3.3657 photo=0.3699 sem=2.9957
step=890 loss=3.3966 photo=0.4008 sem=2.9957
step=900 loss=3.3386 photo=0.3428 sem=2.9957
step=910 loss=3.3598 photo=0.3641 sem=2.9957
step=920 loss=3.3637 photo=0.3680 sem=2.9957
step=930 loss=3.3312 photo=0.3354 sem=2.9957
step=940 loss=3.3459 photo=0.3502 sem=2.9957
step=950 loss=3.3911 photo=0.3954 sem=2.9957
step=960 loss=3.3795 photo=0.3838 sem=2.9957
step=970 loss=3.1934 photo=0.1977 sem=2.9957
step=980 loss=3.3672 photo=0.3715 sem=2.9957
step=990 loss=3.3586 photo=0.3629 sem=2.9957
